,Model Name,Covariates,Log-Likelihood,AIC,BIC,SSE,PSSE,Critic (Mean),Critic (Median)
1,IFR SB,E,-1130.8062939448505,2267.612587889701,2271.8161800346875,51505.71321554715,19.999998507765817,0.025739364476985344,0.03397736700784226
2,IFR SB,F,-1141.4548012767345,2288.909602553469,2293.1131946984556,49351.24771903741,19.999999726855776,0.07778508282449394,0.0
3,IFR SB,C,-889.8435961912085,1785.687192382417,1789.8907845274034,44591.420279667545,19.99999962555876,0.8578241715450676,0.807386423184979
4,IFR SB,"E, F",-978.5574482240401,1965.1148964480801,1970.7196859747287,49127.8735166781,19.9999385065497,0.4774206387703523,0.5184212735324546
5,IFR SB,"E, C",-887.3126327707208,1782.6252655414416,1788.2300550680902,44526.09738751212,19.999999814046873,0.8641189109841456,0.8118716821204252
6,IFR SB,"F, C",-828.054786218879,1664.109572437758,1669.7143619644066,44772.50876189327,19.99999954686047,0.9984593571965411,1.0
7,IFR SB,"E, F, C",-827.2871078646884,1664.5742157293769,1671.5802026376878,44720.81086078043,19.999998940845636,1.0,0.9994491717967597
