,Model Name,Covariates,Log-Likelihood,AIC,BIC,SSE,PSSE,Critic (Mean),Critic (Median),,,,,
1,IFR SB,E,-1248.362719536,2502.72543907199,2507.02740068545,58099.1666001866,68.9999967595232,0,0,,,,Missing:,
2,IFR SB,F,-1210.63411972178,2427.26823944355,2431.57020105701,55241.3239349978,68.9999994057145,0.036255513577088,0.031746217254098,,,,Model,Covar.
3,IFR SB,C,-970.304574511306,1946.60914902261,1950.91111063607,50466.2277619504,68.9999991886593,0.208768942170376,0.233917651039297,,,,IFRSB,FC
4,IFR SB,"E, F",-1062.68620326647,2133.37240653294,2139.10835535088,55191.5412488587,68.9998666732559,0.129309746354183,0.155091890997867,,,,IFRGSB,
5,IFR SB,"E, C",-968.244692908515,1944.48938581703,1950.22533463497,50442.1500215084,68.999999597053,0.209602360753519,0.234558415607638,,,,,
6,IFR SB,"E, F, C",-899.281624504672,1808.56324900934,1815.73318503177,50646.6509626887,68.9999990148516,0.251681699075796,0.291443363049059,,,,,
7,IFRGSB,E,-72.6728995889532,153.345799177906,159.081747995847,1114.25916475347,68.9999977044501,0.989670339643065,0.988633571176151,,,,,
8,IFRGSB,F,-59.1550026886814,126.310005377363,132.045954195303,756.459544244072,99.510404435232,0.999761940456566,0.999499573013191,,,,,
9,IFRGSB,"E, F",-59.1474048073199,128.29480961464,135.464745637066,740.791331399722,73.4533714017986,0.999263022624984,0.998362877487616,,,,,
10,IFRGSB,"E, C",-71.2348350684364,152.469670136873,159.639606159299,1594.27043550089,591.194888825795,0.98791779645494,0.988192073667631,,,,,
11,IFRGSB,"F, C",-59.1513173852992,128.302634770598,135.472570793024,745.594218802985,80.057890595584,0.999239654269099,0.998359585302082,,,,,
12,IFRGSB,"E, F, C",-65.3697950934224,142.739590186845,151.343513413756,595.939070247993,509.708843228666,0.995392791665074,0.993935903908947,,,,,
13,S,E,-72.6671325623447,153.334265124689,159.07021394263,1123.85159680975,147.809145259523,0.989632242650322,0.988638422712932,,,,,
14,S,F,-59.66162478969,127.32324957938,133.059198397321,759.169901317474,210.900312483374,0.999430282543455,0.999073282735695,,,,,
15,S,C,-71.8985008891509,151.797001778302,157.532950596242,1344.72276659663,98.4082626260529,0.989156488247649,0.988776729747302,,,,,
16,S,"E, F",-59.6608784012788,129.321756802558,136.491692824983,754.721825654659,81.2410466962041,0.998878218407247,0.997994267189036,,,,,
17,S,"E, C",-71.2040363764028,152.408072752806,159.578008775231,1409.77826445203,563.231266275361,0.988739994769526,0.98821798880822,,,,,
18,S,"F, C",-59.6529618464024,129.305923692805,136.47585971523,745.462772375955,90.396090019556,0.998923504188119,0.99807812422871,,,,,
19,S,"E, F, C",-59.6529054220247,131.305810844049,139.90973407096,744.494837778997,487.569894857938,0.998355861816915,0.997665847937349,,,,,
20,DW2,E,-91.1748142467411,188.349628493482,192.651590106938,2138.68208440944,154.806889415652,0.97410330383102,0.973540852866957,,,,,
21,DW2,F,-83.5536116735534,173.107223347107,177.409184960562,2301.16103128747,219.451840527085,0.978208113479787,0.979900841948612,,,,,
22,DW2,C,-89.0743870012834,184.148774002567,188.450735616022,2208.98348550508,7.56668945320852,0.975123553484396,0.975256465153019,,,,,
23,DW2,"E, F",-83.5512839214906,175.102567842981,180.838516660922,2301.40220581748,4.75795875863214,0.977636644136541,0.978971653927337,,,,,
24,DW2,"E, C",-88.9853987902881,185.970797580576,191.706746398517,2246.48786536187,32.0823054232286,0.974444660963235,0.974399191867838,,,,,
25,DW2,"F, C",-83.3600570938671,174.720114187734,180.456063005675,2286.40980689197,6.31553711040442,0.977822612715556,0.979132559141007,,,,,
26,DW2,"E, F, C",-83.3246194187713,176.649238837543,183.819174859968,2279.09559762055,37.070762327348,0.977304922507173,0.978019289031285,,,,,
27,DW3,E,-72.0877398186116,152.175479637223,157.911428455164,1087.89738455133,7.71659608595636,0.99015449456869,0.989125839435183,,,,,
28,DW3,C,-71.8234484715195,151.646896943039,157.38284576098,1307.65253543701,16.0210150444624,0.989365172025457,0.988839881583504,,,,,
29,DW3,"E, C",-70.972016299527,151.944032599054,159.11396862148,1349.86483777681,101.190365114845,0.989147176989621,0.988413218946738,,,,,
30,GM,E,-72.700053213278,151.400106426556,155.702068040011,1114.32830837271,87.7563133642255,0.990224784496011,0.989245363103753,,,,,
31,GM,F,-59.6617224574285,125.323444914857,129.625406528312,759.654946265845,811.238670067186,1,1,,,,,
32,GM,C,-71.9459636222651,149.89192724453,154.193888857986,1336.19718316556,87.8021957749537,0.989735507531188,0.989665827491499,,,,,
33,GM,"E, F",-59.6609667460312,127.321933492062,133.057882310003,755.155755687416,3084.26600142271,0.999448164158663,0.999073836437583,,,,,
34,GM,"E, C",-71.237000127568,150.474000255136,156.209949073077,1402.57599684374,205.673099715924,0.989322410294476,0.989333340567592,,,,,
35,GM,"F, C",-59.6530563099224,127.306112619845,133.042061437785,745.93844183441,274.412140569214,0.999493264461862,0.999080492566475,,,,,
36,GM,"E, F, C",-59.6529973817099,129.30599476342,136.475930785846,744.942927788555,99.5129909069815,0.998925743673804,0.998082630390013,,,,,
37,NB2,E,-82.2123708969487,170.424741793897,174.726703407353,1794.36580846398,81.0791650309273,0.981260071142964,0.98102916671649,,,,,
38,NB2,F,-73.3128271524221,152.625654304844,156.9276159183,1732.77015506137,568.548849249462,0.987146965987015,0.98851594746825,,,,,
39,NB2,C,-80.4604655982102,166.92093119642,171.222892809876,1905.0087165907,90.2659085872028,0.98188474342717,0.982502964839856,,,,,
40,NB2,"E, F",-73.2758100820345,154.551620164069,160.28756898201,1705.83932882754,490.873049620927,0.986715627790908,0.987617811656553,,,,,
41,NB2,"E, C",-80.3470879060771,168.694175812154,174.430124630095,1958.54340607571,154.157615880951,0.981151499358502,0.981667781091635,,,,,
42,NB2,"F, C",-73.2763018760587,154.552603752117,160.288552570058,1750.85770550921,218.798925931141,0.986519435600288,0.987617397843159,,,,,
43,NB2,"E, F, C",-73.2043672094103,156.408734418821,163.578670441246,1714.75519148917,13.1398805052884,0.986150050625522,0.986534837630668,,,,,
44,TL,E,-72.6971759436712,153.394351887342,159.130300705283,1110.39028720861,7.73522556344327,0.989671846405615,0.988613148584786,,,,,
45,TL,F,-59.6617224574286,127.323444914857,133.059393732798,759.654946265876,68.4660493368432,0.999428110376124,0.999073200554504,,,,,
46,TL,C,-71.5873789517245,151.174757903449,156.91070672139,1288.20018049467,10.4385874259403,0.989598858759696,0.989038519070699,,,,,
47,TL,"E, F",-59.6609667460446,129.321933492089,136.491869514515,755.155755678603,77.5711409288961,0.998876274534817,0.997990456111938,,,,,
48,TL,"E, C",-71.0016487188385,152.003297437677,159.173233460103,1373.02882283904,11.4480893466317,0.989027678079893,0.988388285150471,,,,,
49,TL,"F, C",-59.6530563123294,129.306112624659,136.476048647084,745.938440743184,26.4204650418448,0.998921374841215,0.998073947576087,,,,,
